iter	Passed	Remaining
450	13606	16562
451	13632	16528
452	13661	16496
453	13686	16460
454	13712	16424
455	13741	16393
456	13768	16360
457	13796	16327
458	13825	16295
459	13854	16264
460	13882	16231
461	13911	16199
462	13936	16164
463	13964	16131
464	13991	16098
465	14022	16068
466	14051	16036
467	14079	16004
468	14107	15972
469	14140	15945
470	14168	15912
471	14195	15879
472	14226	15850
473	14253	15817
474	14282	15785
475	14308	15751
476	14335	15717
477	14361	15683
478	14387	15648
479	14416	15618
480	14451	15593
481	14483	15565
482	14518	15540
483	14547	15509
484	14579	15481
485	14609	15451
486	14638	15419
487	14672	15394
488	14706	15368
489	14738	15340
490	14766	15308
491	14795	15277
492	14823	15244
493	14852	15213
494	14883	15184
495	14915	15156
496	14944	15124
497	14970	15091
498	14995	15055
499	15024	15024
500	15053	14992
501	15082	14962
502	15111	14931
503	15142	14902
504	15170	14869
505	15201	14841
506	15234	14813
507	15265	14785
508	15296	14755
509	15327	14726
510	15357	14696
511	15386	14664
512	15415	14634
513	15442	14600
514	15470	14568
515	15498	14537
516	15526	14505
517	15553	14472
518	15580	14439
519	15606	14405
520	15634	14373
521	15662	14342
522	15690	14310
523	15717	14277
524	15746	14246
525	15773	14213
526	15797	14178
527	15826	14147
528	15852	14114
529	15881	14083
530	15910	14052
531	15939	14021
532	15965	13988
533	15992	13956
534	16018	13922
535	16045	13889
536	16072	13857
537	16102	13827
538	16133	13798
539	16164	13770
540	16201	13745
541	16235	13718
542	16269	13692
543	16298	13661
544	16324	13629
545	16359	13603
546	16390	13573
547	16418	13542
548	16453	13516
549	16486	13488
550	16520	13461
551	16549	13431
552	16582	13404
553	16612	13373
554	16641	13343
555	16671	13312
556	16701	13282
557	16734	13255
558	16768	13228
559	16799	13199
560	16828	13169
561	16857	13138
562	16888	13108
563	16916	13077
564	16943	13045
565	16974	13015
566	17006	12987
567	17033	12954
568	17062	12924
569	17094	12895
570	17121	12863
571	17149	12832
572	17177	12800
573	17205	12769
574	17232	12737
575	17260	12705
576	17289	12675
577	17317	12643
578	17346	12612
579	17377	12583
580	17407	12553
581	17437	12523
582	17466	12492
583	17494	12461
584	17523	12431
585	17555	12402
586	17585	12372
587	17617	12344
588	17649	12315
589	17679	12285
590	17711	12257
591	17742	12227
592	17771	12197
593	17803	12168
594	17831	12137
595	17864	12109
596	17892	12078
597	17919	12046
598	17949	12016
599	17979	11986
600	18007	11954
601	18035	11924
602	18063	11892
603	18093	11862
604	18121	11831
605	18150	11800
606	18176	11768
607	18204	11737
608	18232	11706
609	18260	11674
610	18286	11642
611	18313	11610
612	18339	11578
613	18366	11546
614	18394	11515
615	18422	11484
616	18451	11453
617	18479	11422
618	18504	11389
619	18531	11357
620	18557	11325
621	18587	11295
622	18614	11264
623	18642	11233
624	18668	11201
625	18698	11171
626	18727	11140
627	18756	11110
628	18787	11081
629	18821	11054
630	18850	11023
631	18882	10994
632	18911	10964
633	18938	10932
634	18965	10901
635	19009	10879
636	19045	10852
637	19074	10822
638	19102	10791
639	19133	10762
640	19164	10733
641	19195	10703
642	19223	10673
643	19255	10644
644	19283	10613
645	19311	10582
646	19341	10552
647	19377	10526
648	19410	10498
649	19443	10469
650	19473	10439
651	19504	10410
652	19535	10381
653	19568	10352
654	19600	10323
655	19667	10313
656	19699	10284
657	19730	10255
658	19758	10223
659	19788	10193
660	19819	10164
661	19849	10134
662	19878	10104
663	19911	10075
664	19945	10047
665	19976	10018
666	20010	9990
667	20047	9963
668	20080	9935
669	20112	9906
670	20141	9875
671	20175	9847
672	20202	9815
673	20230	9784
674	20259	9754
675	20286	9723
676	20313	9691
677	20342	9661
678	20372	9631
679	20400	9600
680	20427	9568
681	20455	9538
682	20482	9506
683	20512	9476
684	20539	9445
685	20565	9413
686	20590	9381
687	20619	9350
688	20646	9319
689	20675	9288
690	20703	9258
691	20730	9226
692	20757	9195
693	20786	9165
694	20817	9135
695	20856	9109
696	20888	9080
697	20915	9049
698	20944	9019
699	20976	8989
700	21005	8959
701	21038	8931
702	21070	8901
703	21098	8871
704	21129	8841
705	21158	8811
706	21188	8781
707	21222	8752
708	21255	8724
709	21292	8696
710	21326	8668
711	21359	8639
712	21389	8609
713	21419	8579
714	21457	8552
715	21493	8525
716	21525	8496
717	21558	8467
718	21591	8438
719	21624	8409
720	21654	8379
721	21681	8348
722	21710	8317
723	21739	8287
724	21768	8256
725	21801	8228
726	21831	8198
727	21860	8167
728	21888	8136
729	21917	8106
730	21947	8076
731	21978	8046
732	22008	8016
733	22038	7986
734	22067	7956
735	22093	7924
736	22122	7894
737	22151	7864
738	22179	7833
739	22207	7802
740	22234	7771
741	22263	7741
742	22292	7710
743	22320	7680
744	22352	7650
745	22381	7620
746	22412	7590
747	22446	7562
748	22475	7531
749	22503	7501
750	22532	7470
751	22561	7440
752	22592	7410
753	22621	7380
754	22651	7350
755	22687	7322
756	22717	7292
757	22749	7263
758	22781	7233
759	22812	7203
760	22842	7173
761	22871	7143
762	22898	7112
763	22930	7083
764	22957	7052
765	22985	7021
766	23015	6991
767	23043	6961
768	23069	6929
769	23102	6900
770	23132	6870
771	23158	6839
772	23187	6809
773	23214	6778
774	23242	6747
775	23272	6717
776	23300	6687
777	23327	6656
778	23357	6626
779	23388	6596
780	23416	6566
781	23445	6536
782	23474	6505
783	23507	6476
784	23539	6447
785	23566	6416
786	23592	6385
787	23619	6354
788	23647	6323
789	23675	6293
790	23702	6262
791	23729	6232
792	23756	6201
793	23785	6171
794	23813	6140
795	23840	6109
796	23869	6079
797	23897	6049
798	23927	6019
799	23957	5989
800	23991	5960
801	24023	5931
802	24058	5902
803	24088	5872
804	24121	5843
805	24156	5814
806	24189	5785
807	24217	5754
808	24246	5724
809	24275	5694
810	24303	5663
811	24332	5633
812	24358	5602
813	24388	5572
814	24415	5542
815	24442	5511
816	24472	5481
817	24498	5450
818	24526	5420
819	24552	5389
820	24583	5359
821	24613	5329
822	24642	5299
823	24672	5269
824	24700	5239
825	24727	5208
826	24755	5178
827	24783	5148
828	24811	5117
829	24838	5087
830	24867	5057
831	24894	5026
832	24922	4996
833	24949	4966
834	24981	4936
835	25009	4906
836	25037	4875
837	25063	4845
838	25094	4815
839	25123	4785
840	25154	4755
841	25182	4725
842	25211	4695
843	25241	4665
844	25271	4635
845	25296	4604
846	25326	4574
847	25353	4544
848	25382	4514
849	25410	4484
850	25437	4453
851	25467	4423
852	25496	4393
853	25524	4363
854	25552	4333
855	25579	4303
856	25607	4272
857	25635	4242
858	25659	4211
859	25688	4181
860	25716	4151
861	25744	4121
862	25773	4091
863	25807	4062
864	25838	4032
865	25872	4003
866	25905	3974
867	25933	3943
868	25965	3914
869	25993	3884
870	26024	3854
871	26053	3824
872	26082	3794
873	26111	3764
874	26138	3734
875	26168	3704
876	26192	3673
877	26219	3643
878	26246	3613
879	26275	3583
880	26304	3553
881	26333	3523
882	26363	3493
883	26394	3463
884	26420	3433
885	26447	3402
886	26477	3373
887	26508	3343
888	26539	3313
889	26568	3283
890	26599	3254
891	26628	3224
892	26658	3194
893	26687	3164
894	26717	3134
895	26745	3104
896	26774	3074
897	26801	3044
898	26828	3014
899	26857	2984
900	26884	2953
901	26914	2924
902	26948	2894
903	26985	2865
904	27023	2836
905	27059	2807
906	27089	2777
907	27120	2747
908	27150	2718
909	27184	2688
910	27217	2659
911	27250	2629
912	27283	2599
913	27314	2570
914	27345	2540
915	27376	2510
916	27405	2480
917	27433	2450
918	27463	2420
919	27492	2390
920	27521	2360
921	27550	2330
922	27583	2301
923	27612	2271
924	27642	2241
925	27673	2211
926	27702	2181
927	27733	2151
928	27766	2122
929	27794	2092
930	27822	2061
931	27852	2032
932	27881	2002
933	27912	1972
934	27943	1942
935	27972	1912
936	28002	1882
937	28032	1852
938	28065	1823
939	28096	1793
940	28129	1763
941	28161	1733
942	28191	1704
943	28220	1674
944	28249	1644
945	28276	1614
946	28303	1584
947	28330	1553
948	28359	1524
949	28385	1493
950	28414	1464
951	28445	1434
952	28484	1404
953	28514	1374
954	28545	1345
955	28573	1315
956	28601	1285
957	28632	1255
958	28661	1225
959	28688	1195
960	28721	1165
961	28750	1135
962	28778	1105
963	28815	1076
964	28843	1046
965	28873	1016
966	28900	986
967	28929	956
968	28964	926
969	28993	896
970	29021	866
971	29052	836
972	29085	807
973	29121	777
974	29154	747
975	29186	717
976	29218	687
977	29250	657
978	29283	628
979	29317	598
980	29345	568
981	29377	538
982	29407	508
983	29437	478
984	29465	448
985	29491	418
986	29520	388
987	29550	358
988	29575	328
989	29603	299
990	29629	269
991	29656	239
992	29682	209
993	29709	179
994	29736	149
995	29763	119
996	29791	89
997	29816	59
998	29843	29
999	29873	0
